match_id,distance_to_goal,shot_angle_rad,keeper_pressure_ratio,nearest_defender_distance,blocker_count,defenders_count,under_pressure,is_goal,body_part_Left Foot,body_part_Other,body_part_Right Foot,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Regular Play,active_shot_type
3753984,30.19884103736434,0.2567165531730457,0.939185013240222,8.315046602394974,1,7,0,0,0,0,1,0,1,0,0,0,0,0,1
3753984,16.296318602678333,0.2084895574632402,0.7245058225957783,3.443835071544511,0,6,0,0,1,0,0,0,1,0,0,0,0,0,1
3753984,27.475443581496553,0.2511785073822096,0.9375520473917272,2.731300056749536,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1
3753984,7.602631123499279,0.9685089806599332,0.8860705994820246,0.5999999999999943,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1
3753984,9.47523086789974,0.6282803155490811,0.6769277892805114,0.7000000000000028,0,7,0,0,0,0,1,0,0,0,0,0,1,0,1
3753984,9.730878685915268,0.7410315173461491,0.8326554077084112,0.4000000000000057,2,9,1,0,0,0,0,0,0,0,0,0,0,0,1
3753984,7.481310045707231,0.744129436311893,1.1058827219033005,2.0615528128088383,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1
3753984,17.576404638036756,0.4073653274660426,0.7001717700381435,1.8248287590894636,0,4,0,1,1,0,0,0,1,0,0,0,0,0,1
3753984,8.338465086573185,0.8923016484484064,0.7959519328209625,0.8544003745317519,1,7,1,0,0,0,0,0,0,0,0,0,1,0,1
3753984,22.989562849258363,0.3223825915792718,0.7972959105248696,1.7262676501632117,0,6,0,0,0,0,1,1,0,0,0,0,0,0,1
3753986,35.5147856533022,0.2230010487372796,0.9698744586550444,9.479451460923254,1,7,0,0,0,0,1,0,0,0,0,0,0,1,1
3753986,20.945882650296692,0.2088644771394182,0.7983212390797624,5.0159744815937755,1,8,0,0,1,0,0,0,1,0,0,0,0,0,1
3753986,28.317662332897463,0.2348066022555165,0.8669698715404417,4.5,1,9,0,1,1,0,0,0,1,0,0,0,0,0,1
3753986,8.827797007181347,0.8493176190974817,0.61817296607722,3.1400636936215154,0,10,0,1,0,0,0,0,1,0,0,0,0,0,1
3753986,26.997962886114205,0.2911131518797101,0.8445893852506101,4.947726750741191,1,8,0,0,1,0,0,0,1,0,0,0,0,0,1
